Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,74fc6fDadF400Dc,"Wilcox, Griffith and Hawkins",https://tanner.com/,Cape Verde,Horizontal bi-directional artificial intelligence,1971,Professional Training,1550
2,4C119bee275d420,Griffin-Carey,https://levine-marks.com/,Reunion,Progressive maximized instruction set,2008,Investment Management / Hedge Fund / Private Equity,4864
3,B47dbceC2CA3FF7,"Larson, Castaneda and Boone",http://www.ortiz.org/,South Africa,Decentralized dynamic attitude,1993,Music,7353
4,4Dcd663d47b37c1,"Good, Frazier and Peck",http://kane.info/,Congo,Intuitive actuating approach,2020,Information Technology / IT,2345
5,92BB0Be481BD1FC,Love Ltd,http://www.barrera.com/,Eritrea,Optional well-modulated budgetary management,1987,Recreational Facilities / Services,4574
6,22dCbBFD780a865,Dean Inc,https://www.miranda.com/,Burkina Faso,Cloned tertiary task-force,1997,Consumer Electronics,9370
7,FEC6f6d7421fCD4,"Gallegos, Novak and Johns",http://www.anthony-braun.com/,Pitcairn Islands,Self-enabling attitude-oriented task-force,2007,Management Consulting,6750
8,2cdd825c3b96a4D,"Little, Mays and Montgomery",http://www.blackwell.com/,Nigeria,Customizable asymmetric initiative,1976,Photography,6636
9,706DC7689DBcACf,"Livingston, Jefferson and Scott",https://lawrence-huffman.net/,Greece,Cross-group bottom-line archive,2011,Government Relations,7572
10,Fdb4732FaA1CCbf,Valenzuela and Sons,http://www.mccormick-reed.com/,Moldova,De-engineered maximized complexity,1988,Entertainment / Movie Production,6758
11,16FdD400Fc96E89,Willis Inc,https://blevins.com/,Netherlands Antilles,Synergized eco-centric process improvement,2005,Sports,3008
12,bc46Fd872CBb989,Malone LLC,http://lewis.com/,Ghana,User-friendly motivating project,2003,Law Practice / Law Firms,585
13,e0cd00BDeB15edb,"Orr, Ashley and Patel",http://franco-espinoza.biz/,Colombia,Versatile foreground collaboration,2009,Hospital / Health Care,585
14,f5d83EC7EdFa99C,"Aguirre, Manning and Fischer",https://maxwell.com/,Germany,Total 24/7 matrix,1989,Motion Pictures / Film,6023
15,81aDF88b2d2F20f,Ho and Sons,https://mora-adkins.com/,Turks and Caicos Islands,Enhanced coherent functionalities,1976,Biotechnology / Greentech,2929
16,CFAE6FB64627CFA,"Zhang, Jordan and Castro",http://www.morrison-ware.com/,Bulgaria,Public-key real-time groupware,2002,Architecture / Planning,6828
17,2D92015aEb4b9EF,"James, Shepard and Zamora",https://www.velasquez-leonard.org/,Saint Helena,Upgradable demand-driven challenge,1987,Design,2685
18,0Fd92FB7bb0B470,"Leblanc, Mcmahon and Chandler",http://white.net/,Faroe Islands,Assimilated demand-driven portal,1980,Animation,7776
19,4BD8CdECEc91ba4,Sharp-Buckley,http://www.deleon.info/,Uganda,Reduced client-server forecast,1971,Marketing / Advertising / Sales,6956
20,6bd1F8E3fF5F4dc,Maxwell Group,http://www.koch-phelps.com/,United Arab Emirates,Diverse next generation firmware,2001,Machinery,8500
